code,name,description,category,url
AIRQ,abandoned airfield,abandoned airfield,S,
CMPQ,abandoned camp,abandoned camp,S,
CNLQ,abandoned canal,abandoned canal,H,
MFGQ,abandoned factory,abandoned factory,S,
FRMQ,abandoned farm,abandoned farm,S,
MNQ,abandoned mine,abandoned mine,S,
MSSNQ,abandoned mission,abandoned mission,S,
OILQ,abandoned oil well,abandoned oil well,S,
PPQ,abandoned police post,abandoned police post,S,
PPLQ,abandoned populated place,abandoned populated place,P,
PRNQ,abandoned prison,abandoned prison,S,
RRQ,abandoned railroad,abandoned railroad,R,
RSTNQ,abandoned railroad station,abandoned railroad station,S,
RSTPQ,abandoned railroad stop,abandoned railroad stop,S,
STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns",H,
WLLQ,abandoned well,abandoned well,H,
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",A,
ADMF,administrative facility,a government building,S,
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,L,
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,S,
RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development,L,
SCHA,agricultural school,a school with a curriculum focused on agriculture,S,
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",S,
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,S,
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",S,
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,S,
STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream,H,
ANCH,anchorage,an area where vessels may anchor,H,
RDA,ancient road,the remains of a road used by ancient cultures,R,
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",S,
WALLA,ancient wall,the remains of a linear defensive stone structure,S,
BLDA,apartment building,a building containing several individual apartments,S,
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",S,
CNLA,aqueduct,a conduit used to carry water,H,
ARCH,arch,a natural or man-made structure in the form of an arch,S,
LAND,Arctic land,a tract of land in the Arctic,L,
AREA,area,a tract of land without homogeneous character or boundaries,L,
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",T,
RNGA,artillery range,a tract of land used for artillery firing practice,L,
ASPH,asphalt lake,a small basin containing naturally occurring asphalt,T,
ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies,S,
ASYL,asylum,a facility where the insane are cared for and protected,S,
ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events",S,
ATOL,atoll(s),a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon,T,
CTRA,atomic center,a facility where atomic research is carried out,S,
BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",T,
BSTN,baling station,a facility for baling agricultural products,S,
ESTB,banana plantation,an estate that specializes in the growing of bananas,S,
BAN,bank,"an establishment for the custody, loan, exchange or issue of money, for the extension of credit, and for facilitating the transmission of funds",S,
BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",H,
BAR,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts",T,
BRKS,barracks,a building for lodging military personnel,S,
BTL,battlefield,a site of a land battle of historical importance,L,
BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",H,
BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf",H,
BCH,beach,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T,
RDGB,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series",T,
BCHS,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T,
BCN,beacon,a fixed artificial navigation mark,S,
BNCH,bench,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody",T,
BGHT,bight(s),an open body of water forming a slight recession in a coastline,H,
BLHL,blowhole(s),a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air,T,
BLOW,blowout(s),"a small depression in sandy terrain, caused by wind erosion",T,
BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels",S,
BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants",H,
PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods,S,
BLDR,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks",T,
BP,boundary marker,a fixture marking a point along a boundary,S,
BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port,S,
MFGB,brewery,one or more buildings where beer is brewed,S,
BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",S,
ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent,A,
BLDG,building(s),"a structure built for permanent use, as a house, factory, etc.",S,
BUR,burial cave(s),a cave used for human burials,S,
BUSH,bush(es),a small clump of conspicuous bushes in an otherwise bare area,V,
CTRB,business center,a place where a number of businesses are located,L,
BUTE,butte(s),"a small, isolated, usually flat-topped hill with steep sides",T,
CARN,cairn,a heap of stones erected as a landmark or for other purposes,S,
CLDA,caldera,a depression measuring kilometers across formed by the collapse of a volcanic mountain,T,
CMP,camp(s),"a site occupied by tents, huts, or other shelters for temporary use",S,
CNL,canal,an artificial watercourse,H,
CNLB,canal bend,a conspicuously curved or bent section of a canal,H,
TNLC,canal tunnel,a tunnel through which a canal passes,H,
STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened",H,
MFGC,cannery,a building where food items are canned,S,
CNYN,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area",T,
CAPE,cape,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",T,
PPLC,capital of a political entity,capital of a political entity,P,
RTE,caravan route,the route taken by caravans,R,
CSNO,casino,"a building used for entertainment, especially gambling",S,
CSTL,castle,a large fortified building or set of buildings,S,
TNKD,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control,S,
CSWY,causeway,a raised roadway across wet ground or shallow water,R,
CAVE,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff",S,
CMTY,cemetery,a burial place or ground,S,
CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows",H,
MNCR,chrome mine(s),a mine where chrome ore is extracted,S,
CH,church,a building for public Christian worship,S,
CRQ,cirque,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T,
CRQS,cirques,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T,
CLG,clearing,an area in a forest with trees removed,L,
CFT,cleft(s),"a deep narrow slot, notch, or groove in a coastal cliff",T,
CLF,cliff(s),"a high, steep to perpendicular slope overlooking a waterbody or lower area",T,
HSPC,clinic,a medical facility associated with a hospital for outpatients,S,
MNC,coal mine(s),a mine where coal is extracted,S,
COLF,coalfield,a region in which coal deposits of possible economic value occur,L,
CST,coast,a zone of variable width straddling the shoreline,L,
STNC,coast guard station,a facility from which the coast is guarded by armed vessels,S,
GRVC,coconut grove,a planting of coconut trees,V,
SCHC,college,the grounds and buildings of an institution of higher learning,S,
CMN,common,a park or pasture for community use,L,
COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information",S,
CTRCM,community center,a facility for community recreation and other activities,S,
CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry",L,
CONE,cone(s),a conical landform composed of mud or volcanic material,T,
CNFL,confluence,a place where two or more streams or intermittent streams flow together,H,
CRSU,continental rise,a gentle slope rising from oceanic depths towards the foot of a continental slope,U,
CVNT,convent,a building where a community of nuns lives in seclusion,S,
MNCU,copper mine(s),a mine where copper ore is extracted,S,
MFGCU,copper works,a facility for processing copper ore,S,
RFC,coral reef(s),a surface-navigation hazard composed of coral,H,
CRRL,corral(s),a pen or enclosure for confining or capturing animals,S,
CRDR,corridor,a strip or area of land having significance as an access way,T,
ESTC,cotton plantation,an estate specializing in the cultivation of cotton,S,
HSEC,country house,"a large house, mansion, or chateau, on a large estate",S,
CTHSE,courthouse,a building in which courts of law are held,S,
COVE,cove(s),"a small coastal indentation, smaller than a bay",H,
LKC,crater lake,a lake in a crater or caldera,H,
LKSC,crater lakes,lakes in a crater or caldera,H,
CRTR,crater(s),a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action,T,
CUET,cuesta(s),an asymmetric ridge formed on tilted strata,T,
CULT,cultivated area,an area under cultivation,V,
CRNT,current,a horizontal flow of water in a given direction with uniform velocity,H,
CSTM,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared",S,
PSTC,customs post,a building at an international boundary where customs and duties are paid on goods,S,
CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck,H,
DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products",S,
DAM,dam,a barrier constructed across a stream to impound water,S,
DEPU,deep,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench",U,
DLTA,delta,a flat plain formed by alluvial deposits at the mouth of a stream,T,
PCLD,dependent political entity,dependent political entity,A,
DPR,depression(s),a low area surrounded by higher land and usually characterized by interior drainage,T,
DSRT,desert,a large area with little or no vegetation due to extreme environmental conditions,T,
PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war",P,
MNDT,diatomite mine(s),a place where diatomaceous earth is extracted,S,
DIKE,dike,an earth or stone embankment usually constructed for flood or stream control,S,
DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d’affaires, or other diplomatic, economic, military, or cultural mission",S,
HSPD,dispensary,a building where medical or dental aid is dispensed,S,
STMD,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal",H,
DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land,H,
DTCHM,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay",H,
DVD,divide,a line separating adjacent drainage basins,T,
DCK,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships",H,
DCKB,docking basin,a part of a harbor where ships dock,H,
DCKY,dockyard,"a facility for servicing, building, or repairing ships",S,
BSND,drainage basin,an area drained by a stream,L,
CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches,H,
DTCHD,drainage ditch,a ditch which serves to drain the land,H,
DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed",S,
SBED,dry stream bed,a channel formerly containing the water of a stream,T,
DUNE,dune(s),"a wave form, ridge or star shape feature composed of sand",T,
RGNE,economic region,a region of a country established for economic development or for statistical purposes,L,
SCRP,escarpment,a long line of cliffs or steep slopes separating level surfaces above and below,T,
EST,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities,S,
ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences,H,
STNE,experiment station,a facility for carrying out experiments,S,
FCL,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc.",S,
CTRF,facility center,a place where more than one facility is situated,S,
MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated",S,
FAN,fan(s),a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain,T,
FRM,farm,a tract of land with associated buildings devoted to agriculture,S,
PPLF,farm village,a populated place where the population is largely engaged in agricultural activities,P,
FRMS,farms,tracts of land with associated buildings devoted to agriculture,S,
FRMT,farmstead,the buildings and adjacent service areas of a farm,S,
FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody,S,
FYT,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo",S,
FLD,field(s),an open as opposed to wooded area,L,
FIRE,fire station,building housing firefighters and/or fire fighting equipment,S,
ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",A,
FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish",H,
PNDSF,fishponds,ponds or enclosures in which fish are kept or raised,H,
FSR,fissure,a crack associated with volcanism,T,
FJD,fjord,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts",H,
FJDS,fjords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts",H,
FORD,ford,a shallow part of a stream which can be crossed on foot or by land vehicle,T,
RESF,forest reserve,a forested area set aside for preservation or controlled use,L,
STNF,forest station,a collection of buildings and facilities for carrying out forest management,S,
FRST,forest(s),an area dominated by tree vegetation,V,
INLTQ,former inlet,"an inlet which has been filled in, or blocked by deposits",H,
MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill,S,
FT,fort,a defensive structure or earthworks,S,
FRSTF,fossilized forest,a forest fossilized by geologic processes and now exposed at the earth's surface,V,
FNDY,foundry,a building or works where metal casting is carried out,S,
ADM4,fourth-order administrative division,a subdivision of a third-order administrative division,A,
ZNF,free trade zone,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations",S,
PCLF,freely associated state,freely associated state,A,
DPOF,fuel depot,an area where fuel is stored,S,
GAP,gap,"a low place in a ridge, not used for transportation",T,
GDN,garden(s),an enclosure for displaying selected plant or animal life,S,
GOSP,gas-oil separator plant,a facility for separating gas from oil,S,
GASF,gasfield,an area containing a subterranean store of natural gas of economic value,L,
GATE,gate,a controlled access entrance or exit,S,
GYSR,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam,H,
GHAT,ghāt,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing",S,
GLCR,glacier(s),"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses",H,
MNAU,gold mine(s),"a mine where gold ore, or alluvial gold is extracted",S,
RECG,golf course,a recreation field where golf is played,S,
GRGE,gorge(s),"a short, narrow, steep-sided section of a stream valley",T,
GRSLD,grassland,an area dominated by grass vegetation,V,
GRVE,grave,a burial site,S,
GVL,gravel area,an area covered with gravel,L,
GRAZ,grazing area,an area of grasses and shrubs used for grazing,L,
GHSE,guest house,a house used to provide lodging for paying guests,S,
GULF,gulf,"a large recess in the coastline, larger than a bay",H,
HLT,halting place,a place where caravans stop for rest,S,
HMCK,hammock(s),"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups",T,
AIRG,hangar,a covered and usually enclosed area for housing and repairing aircraft,S,
VALG,hanging valley,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated,T,
HBR,harbor(s),a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships,H,
HDLD,headland,a high projection of land extending into a large body of water beyond the line of the coast,T,
STMH,headwaters,"the source and upper part of a stream, including the upper drainage basin",H,
HTH,heath,an upland moor or sandy area dominated by low shrubby vegetation including heather,V,
AIRH,heliport,a place where helicopters land and take off,S,
HERM,hermitage,"a secluded residence, usually for religious sects",S,
HLL,hill,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m,T,
HLLS,hills,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m,T,
ADMDH,historical administrative division,"a former administrative division of a political entity, undifferentiated as to administrative level",A,
ADM1H,historical first-order administrative division,a former first-order administrative division,A,
ADM4H,historical fourth-order administrative division,a former fourth-order administrative division,A,
PCLH,historical political entity,a former political entity,A,
PPLH,historical populated place,a populated place that no longer exists,P,
RRH,historical railroad,a former permanent twin steel-rail track on which freight and passenger cars move long distances,R,
RSTNH,historical railroad station,"a former facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",S,
