code,name,description,category,url,public-database
AE-ACCI,,,AE,https://www.ajmanchamber.ae/en/Pages/default.aspx,False
AE-ADCD,,,AE,http://www.abudhabichamber.ae/English/E-Services/Pages/EServices-Page.aspx?sm=1&ty=s,False
AE-AFZ,,,AE,http://www.afz.gov.ae/,False
AE-DCCI,,,AE,http://www.dcciinfo.com/,False
AE-DFSA,,,AE,https://www.dfsa.ae/Public-Register/Firm,False
AE-DIFC,,,AE,https://www.difc.ae/public-register,False
AE-DMCC,,,AE,https://www.dmcc.ae/,False
AE-FCCI,,,AE,http://www.fujcci.ae/,False
AE-FFZ,,,AE,http://www.fujairahfreetradezone.com/appdir/company-listing.php,False
AE-HFZA,,,AE,http://www.hfza.ae/en-us/directory.aspx,False
AE-RAKIA,,,AE,https://www.rakez.com,False
AE-RK_CR,,,AE,http://www.rakchamber.ae/,False
AE-SAIF,,,AE,http://www.saif-zone.com/en/InvestorLounge/Pages/Investors.aspx,False
AE-SCCI,,,AE,http://www.sharjah.gov.ae/BusinessDirectory,False
AE-UQCCI,,,AE,http://www.uaqchamber.ae/,False
AF-CBR,,,AF,http://acbr.gov.af/,False
AF-MOE,,,AF,http://moec.gov.af/en,False
AR-CENOC,,,AR,http://www.cenoc.gob.ar/,True
AR-CUIT,,,AR,,False
AT-FB,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,True
AT-UID,,,AT,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html,True
AU-ABN,,,AU,http://abr.business.gov.au/,False
AU-ACNC,,,AU,http://www.acnc.gov.au/ACNC/,False
AZ-IVI,,,AZ,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,True
BD-NAB,,,BD,http://www.ngoab.gov.bd,False
BE-BCE_KBO,,,BE,http://economie.fgov.be/fr/entreprises/BCE,False
BE-GTCF,,,BE,http://www.juridat.be/tribunal_commerce/bruxelles/index.htm,False
BG-EIK,,,BG,https://public.brra.bg/CheckUps/Verifications/VerificationPersonOrg.ra,True
BJ-IFU,,,BJ,http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/,False
BW-CIPA,,,BW,http://www.cipa.co.bw/,True
BY-ADR,,,BY,http://egr.gov.by/egrn/index.jsp?language=en,True
CA-CC,,,CA,http://www.ic.gc.ca/eic/site/cd-dgc.nsf/eng/home,False
CA-CRA_ACR,,,CA,http://www.cra-arc.gc.ca/,False
CA-GOV,,,CA,http://open.canada.ca/data/en/dataset/22090865-f8a6-4b83-9bad-e9d61f26a821,True
CA_AB-ABT,,,CA,http://www.servicealberta.ca/Corporate_Registry.cfm,False
CA_BC-BRC_CBR,,,CA,http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/index.page,False
CA_MB-MTB,,,CA,https://direct.gov.mb.ca/mbohtml/html/internet/en/mb_online.html,False
CA_NB-NWB_NOB,,,CA,https://www.pxw1.snb.ca/snb7001/e/2000/2500e.asp,False
CA_NL-NFL_TNL,,,CA,http://www.servicenl.gov.nl.ca/registries/companies.html,False
CA_NS-NVS_NVE,,,CA,http://novascotia.ca/sns/access/business/registry-joint-stock-companies.asp,False
CA_NT-NWT_TNO,,,CA,https://www.justice.gov.nt.ca/en/divisions/legal-registries-division/corporate-registries/,False
CA_NU-NNV,,,CA,http://nunavutlegalregistries.ca/cr_index_en.shtml,False
CA_ON-ONT,,,CA,https://www.ontario.ca/page/business-and-economy,False
CA_PE-PEI_IPE,,,CA,http://www.gov.pe.ca/corporations/index.php,False
CA_QC-QBC,,,CA,http://www.registreentreprises.gouv.qc.ca/,False
CA_SK-SKN,,,CA,http://www.isc.ca/CorporateRegistry/,False
CA_YT-YKT,,,CA,http://www.community.gov.yk.ca/corp/index.html,False
CH-FDJP,,,CH,https://www.zefix.ch/de/search/entity/welcome,True
CN-SAIC,,,CN,http://gsxt.saic.gov.cn/,False
CO-CCB,,,CO,http://www.ccb.org.co/,False
CO-RUE,,,CO,http://www.rues.org.co/RUES_Web/,False
CY-DRCOR,,,CY,https://efiling.drcor.mcit.gov.cy/DrcorPublic/Default.aspx?cultureInfo=en-AU,True
CZ-DIC,,,CZ,http://www.kurzy.cz/dic/,True
CZ-ICO,,,CZ,http://wwwinfo.mfcr.cz/ares/ares_es.html.en,False
DE-CR,,,DE,https://www.handelsregister.de/rp_web/welcome.do,True
DK-CVR,,,DK,https://datacvr.virk.dk/data/,False
EE-KMKR,,,EE,http://www.rik.ee/en/e-business-register,True
EE-RIK,,,EE,http://www.rik.ee/en/e-business-register,False
EG-MOSS,,,EG,http://www.moss.gov.eg/,False
ES-DIR3,,,ES,http://administracionelectronica.gob.es/ctt/dir3/descargas,False
ES-RMC,,,ES,http://www.rmc.es/Home.aspx,True
ET-CSA,,,ET,http://www.chsa.gov.et/,False
ET-MFA,,,ET,http://www.mfa.gov.et/,False
ET-MOT,,,ET,http://www.mot.gov.et,False
FI-PRO,,,FI,http://www.prh.fi/en/index.html,False
FR-INSEE,,,FR,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm,False
FR-RCS,,,FR,http://www.infogreffe.fr,False
GB-CHC,,,GB,http://www.charity-commission.gov.uk/,True
GB-COH,,,GB,http://www.companieshouse.gov.uk/,True
GB-EDU,,,GB,https://get-information-schools.service.gov.uk,True
GB-GOR,,,GB,https://government-organisation.register.gov.uk/records,True
GB-GOV,,,GB,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,False
GB-GOVUK,,,GB,https://www.gov.uk/government/organisations,False
GB-IRN,,,GB,https://www.education-ni.gov.uk/services/schools-plus,True
GB-LAE,,,GB,https://local-authority-eng.register.gov.uk/records?page-index=1&page-size=5000,True
GB-LAS,,,GB,https://local-authority-sct.register.gov.uk/,True
GB-MPR,,,GB,https://mutuals.fsa.gov.uk/,False
GB-NHS,,,GB,https://digital.nhs.uk/organisation-data-service,True
GB-NIC,,,GB,http://www.charitycommissionni.org.uk/charity-search/,True
GB-PLA,,,GB,https://principal-local-authority.register.gov.uk/records,True
GB-REV,,,GB,http://www.hmrc.gov.uk/,False
GB-SC,,,GB,http://www.oscr.org.uk/,False
GB-SHPE,,,GB,https://social-housing-provider-eng.alpha.openregister.org/,True
