code,name,description,category,url
1,,,,http://apps.who.int/gho/indicatorregistry/App_Main/indicator_registry.aspx
2,,,,http://www.spherehandbook.org
3,,,,http://www.state.gov/s/d/rm/rls/dosstrat/2007/html/82981.htm
4,,,,http://data.worldbank.org/data-catalog/world-development-indicators
5,,,,http://mdgs.un.org/unsd/mdg/Host.aspx?Content=Indicators/OfficialList.htm
6,,,,https://www.humanitarianresponse.info/applications/ir/indicators
7,,,,http://www.indicatorregistry.org
8,,,,https://indicators.ifipartnership.org/indicators/
9,,,,https://unstats.un.org/sdgs/indicators/indicators-list/
99,,,,
