code,name,description,category,url
111,"Education, Niveau non spécifié",Les codes de cette catégorie doivent être utilisés seulement si le niveau d'éducation n'est pas spécifié ou connu (par exemple la formation d'enseignants d'écoles primaires devrait être codée sous 11220).,,
112,Education de Base,,,
113,Education Secondaire,,,
114,Education Post Secondaire,,,
121,"Santé, Général",,,
122,Santé de Base,,,
123,Maladies non-transmissibles (MNT),,,
130,Politique en Matière de Population/Santé&Fertilité,,,
140,Distribution d'Eau et Assainissement,,,
151,Gouvernement & Société Civile-général,N.B. Utiliser le code 51010 pour le soutien budgétaire général.,,
152,"Conflits, Paix et Sécurité","N.B. Des notes supplémentaires sur l'éligibilité au titre de l'APD (et les exclusions) des activités liées aux conflits, la paix et la sécurité sont données dans les paragraphes 76-81 des Directives.",,
160,Infrastructure et Services Sociaux Divers,,,
210,Transports et Entreposage,Nota bene : La fabrication de matériel de transport devrait être incluse dans le code 32172.,,
220,Communications,,,
230,,,,
231,Politique de l'énergie,,,
232,"Production d'électricité, sources renouvelables",,,
233,"Production d'électricité, sources non renouvelables",,,
234,Centrales hybrides,,,
235,Centrales nucléaires,,,
236,Distribution de l'énergie,,,
240,Banques et Services Financiers,,,
250,Entreprises et Autres Services,,,
311,Agriculture,,,
312,Sylviculture,,,
313,Pêche,,,
321,Industries Manufacturières,,,
322,Industries Extractives,,,
323,Construction,,,
331,Politique Commerciale et Réglementations,,,
332,Tourisme,,,
410,Protection de l'Environnement Général,Secteur non spécifié.,,
430,Autres Multisecteurs,,,
510,Soutien Budgétaire,Les soutiens budgétaires sous la forme d'approches sectorielles devraient être inclus dans les secteurs respectifs.,,
520,Aide Alimentaire Dévelopmentale,,,
530,"Aide sous forme de Produits, Autre",Aide sous forme de produits non alimentaires (quand le secteur bénéficiaire ne peut être précisé).,,
600,Actions se Rapportant a la Dette,,,
720,Intervention d'Urgence,Une situation d'urgence a pour origine une crise provoquée par des actions humaines ou par une catastrophe naturelle.,,
730,Reconstruction & Réhabilitation,Activités menées pendant et après une situation d'urgence. Les activités à plus long terme destinées à améliorer le niveau d'infrastructure ou de services sociaux doivent être rapportées sous les codes correspondants des secteurs économiques et sociaux pertinents. Voir également les orientations sur la distinction entre l'aide humanitaire et l'aide ventilable par secteur.,,
740,Prévention catastrophes/Préparation à leur survenue,Voir code 43060 pour la réduction des risques de catastrophes.,,
910,Frais Administratifs des Donneurs,,,
920,,,,
930,Refugiés dans les Pays Donneurs,,,
998,Non Affecté / Non Specifié,,,
