code,name,description,category,url,status
AIRQ,,,S,,
CMPQ,,,S,,
CNLQ,,,H,,
MFGQ,,,S,,
FRMQ,,,S,,
MNQ,,,S,,
MSSNQ,,,S,,
OILQ,,,S,,
PPQ,,,S,,
PPLQ,,,P,,
PRNQ,,,S,,
RRQ,,,R,,
RSTNQ,,,S,,
RSTPQ,,,S,,
STMQ,,,H,,
WLLQ,,,H,,
ADMD,,,A,,
ADMF,,,S,,
AGRC,,,L,,
AGRF,,,S,,
RESA,,,L,,
SCHA,,,S,,
AIRB,,,S,,
AIRF,,,S,,
AIRP,,,S,,
AMTH,,,S,,
STMA,,,H,,
ANCH,,,H,,
RDA,,,R,,
ANS,,,S,,
WALLA,,,S,,
BLDA,,,S,,
AQC,,,S,,
CNLA,,,H,,
ARCH,,,S,,
LAND,,,L,,
AREA,,,L,,
ISLF,,,T,,
RNGA,,,L,,
ASPH,,,T,,
ASTR,,,S,,
ASYL,,,S,,
ATHF,,,S,,
ATOL,,,T,,
CTRA,,,S,,
BDLD,,,T,,
BSTN,,,S,,
ESTB,,,S,,
BAN,,,S,,
BNK,,,H,,
BAR,,,T,,
BRKS,,,S,,
BTL,,,L,,
BAY,,,H,,
BAYS,,,H,,
BCH,,,T,,
RDGB,,,T,,
BCHS,,,T,,
BCN,,,S,,
BNCH,,,T,,
BGHT,,,H,,
BLHL,,,T,,
BLOW,,,T,,
BTYD,,,S,,
BOG,,,H,,
PSTB,,,S,,
BLDR,,,T,,
BP,,,S,,
BRKW,,,S,,
MFGB,,,S,,
BDG,,,S,,
ZNB,,,A,,
BLDG,,,S,,
BUR,,,S,,
BUSH,,,V,,
CTRB,,,L,,
BUTE,,,T,,
CARN,,,S,,
CLDA,,,T,,
CMP,,,S,,
CNL,,,H,,
CNLB,,,H,,
TNLC,,,H,,
STMC,,,H,,
MFGC,,,S,,
CNYN,,,T,,
CAPE,,,T,,
PPLC,,,P,,
RTE,,,R,,
CSNO,,,S,,
CSTL,,,S,,
TNKD,,,S,,
CSWY,,,R,,
CAVE,,,S,,
CMTY,,,S,,
CHN,,,H,,
MNCR,,,S,,
CH,,,S,,
CRQ,,,T,,
CRQS,,,T,,
CLG,,,L,,
CFT,,,T,,
CLF,,,T,,
HSPC,,,S,,
MNC,,,S,,
COLF,,,L,,
CST,,,L,,
STNC,,,S,,
GRVC,,,V,,
SCHC,,,S,,
CMN,,,L,,
COMC,,,S,,
CTRCM,,,S,,
CNS,,,L,,
CONE,,,T,,
CNFL,,,H,,
CRSU,,,U,,
CVNT,,,S,,
MNCU,,,S,,
MFGCU,,,S,,
RFC,,,H,,
CRRL,,,S,,
CRDR,,,T,,
ESTC,,,S,,
HSEC,,,S,,
CTHSE,,,S,,
COVE,,,H,,
LKC,,,H,,
LKSC,,,H,,
CRTR,,,T,,
CUET,,,T,,
CULT,,,V,,
CRNT,,,H,,
CSTM,,,S,,
PSTC,,,S,,
CUTF,,,H,,
DARY,,,S,,
DAM,,,S,,
DEPU,,,U,,
DLTA,,,T,,
PCLD,,,A,,
DPR,,,T,,
DSRT,,,T,,
PPLW,,,P,,
MNDT,,,S,,
DIKE,,,S,,
DIP,,,S,,
HSPD,,,S,,
STMD,,,H,,
DTCH,,,H,,
DTCHM,,,H,,
DVD,,,T,,
DCK,,,H,,
DCKB,,,H,,
DCKY,,,S,,
BSND,,,L,,
CNLD,,,H,,
DTCHD,,,H,,
DCKD,,,S,,
SBED,,,T,,
DUNE,,,T,,
RGNE,,,L,,
SCRP,,,T,,
EST,,,S,,
ESTY,,,H,,
STNE,,,S,,
FCL,,,S,,
CTRF,,,S,,
MFG,,,S,,
FAN,,,T,,
FRM,,,S,,
PPLF,,,P,,
FRMS,,,S,,
FRMT,,,S,,
FY,,,S,,
FYT,,,S,,
FLD,,,L,,
FIRE,,,S,,
ADM1,,,A,,
FISH,,,H,,
PNDSF,,,H,,
FSR,,,T,,
FJD,,,H,,
FJDS,,,H,,
FORD,,,T,,
RESF,,,L,,
STNF,,,S,,
FRST,,,V,,
INLTQ,,,H,,
MLSGQ,,,S,,
FT,,,S,,
FRSTF,,,V,,
FNDY,,,S,,
ADM4,,,A,,
ZNF,,,S,,
PCLF,,,A,,
DPOF,,,S,,
GAP,,,T,,
GDN,,,S,,
GOSP,,,S,,
GASF,,,L,,
GATE,,,S,,
GYSR,,,H,,
GHAT,,,S,,
GLCR,,,H,,
MNAU,,,S,,
RECG,,,S,,
GRGE,,,T,,
GRSLD,,,V,,
GRVE,,,S,,
GVL,,,L,,
GRAZ,,,L,,
GHSE,,,S,,
GULF,,,H,,
HLT,,,S,,
HMCK,,,T,,
AIRG,,,S,,
VALG,,,T,,
HBR,,,H,,
HDLD,,,T,,
STMH,,,H,,
HTH,,,V,,
AIRH,,,S,,
HERM,,,S,,
HLL,,,T,,
HLLS,,,T,,
ADMDH,,,A,,
ADM1H,,,A,,
ADM4H,,,A,,
PCLH,,,A,,
PPLH,,,P,,
RRH,,,R,,
RSTNH,,,S,,
RGNH,,,L,,
ADM2H,,,A,,
HSTS,,,S,,
ADM3H,,,A,,
UFHU,,,U,,
HMSD,,,S,,
HSP,,,S,,
SPNT,,,H,,
HTL,,,S,,
HSE,,,S,,
DEVH,,,L,,
RESH,,,L,,
HUT,,,S,,
HUTS,,,S,,
PSH,,,S,,
CAPG,,,H,,
DPRG,,,H,,
DOMG,,,H,,
RDGG,,,H,,
PCLI,,,A,,
INDS,,,L,,
INLT,,,H,,
STNI,,,S,,
TRGD,,,T,,
INTF,,,T,,
LKI,,,H,,
LKSI,,,H,,
LKOI,,,H,,
PNDI,,,H,,
PNDSI,,,H,,
POOLI,,,H,,
RSVI,,,H,,
LKNI,,,H,,
LKSNI,,,H,,
PNDNI,,,H,,
STMI,,,H,,
WTLDI,,,H,,
RDIN,,,S,,
MNFE,,,S,,
FLDI,,,L,,
CNLI,,,H,,
DTCHI,,,H,,
SYSI,,,H,,
ISL,,,T,,
ISLS,,,T,,
STLMT,,,P,,
ISTH,,,T,,
JTY,,,S,,
KRST,,,T,,
CMPLA,,,S,,
LGN,,,H,,
LGNS,,,H,,
LK,,,H,,
LBED,,,H,,
CHNL,,,H,,
RGNL,,,L,,
LKS,,,H,,
ISLT,,,T,,
LNDF,,,S,,
LDNG,,,S,,
LAVA,,,T,,
MNPB,,,S,,
LTER,,,A,,
LEPC,,,S,,
HSPL,,,S,,
LEV,,,T,,
LTHSE,,,S,,
MFGLM,,,S,,
GOVL,,,S,,
LCTY,,,L,,
LOCK,,,S,,
CMPL,,,S,,
STMSB,,,H,,
MVA,,,L,,
ISLM,,,T,,
MGV,,,H,,
MAR,,,S,,
CHNM,,,H,,
SCHN,,,S,,
MKT,,,S,,
MRSH,,,H,,
MDW,,,V,,
NKM,,,T,,
CTRM,,,S,,
MESA,,,T,,
STNM,,,S,,
MILB,,,L,,
INSM,,,S,,
SCHM,,,S,,
ML,,,S,,
MN,,,S,,
MNA,,,L,,
CMPMN,,,S,,
MSSN,,,S,,
MOLE,,,S,,
MSTY,,,S,,
MNMT,,,S,,
MOOR,,,H,,
MRN,,,T,,
MSQE,,,S,,
MND,,,T,,
MT,,,T,,
MTS,,,T,,
FLTM,,,H,,
MFGM,,,S,,
MUS,,,S,,
NRWS,,,H,,
TNLN,,,R,,
RESN,,,L,,
NVB,,,L,,
CNLN,,,H,,
CHNN,,,H,,
MNNI,,,S,,
NOV,,,S,,
PSN,,,S,,
NTK,,,T,,
NTKS,,,T,,
NSY,,,S,,
OAS,,,L,,
OBPT,,,S,,
OBS,,,S,,
OCN,,,H,,
BLDO,,,S,,
CMPO,,,S,,
ESTO,,,S,,
OILP,,,R,,
OILJ,,,S,,
TRMO,,,S,,
PMPO,,,S,,
OILR,,,S,,
OILW,,,S,,
OILF,,,L,,
GRVO,,,V,,
MLO,,,S,,
OCH,,,V,,
MLM,,,S,,
OVF,,,H,,
LKO,,,H,,
PGDA,,,S,,
PAL,,,S,,
GRVP,,,V,,
RESP,,,L,,
PAN,,,T,,
PANS,,,T,,
PRSH,,,A,,
PRK,,,L,,
PRKGT,,,S,,
PRKHQ,,,S,,
GARG,,,S,,
PKLT,,,S,,
PASS,,,T,,
PSTP,,,S,,
PK,,,T,,
PKS,,,T,,
PEAT,,,L,,
PEN,,,T,,
BSNP,,,L,,
MFGPH,,,S,,
PIER,,,S,,
