code,name,description,category,url,status
0,NON FLOW ITEMS,Non resource flow items requested on DAC table 1,,,
100,GRANTS,,,,
1000,GUARANTEES AND OTHER UNFUNDED CONTINGENT LIABILITIES,,,,
200,INTEREST SUBSIDY,"Subsidies to soften the terms of private export credits, or loans or credits by the banking sector.",,,
300,CAPITAL SUBSCRIPTION,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally cashable at sight by the recipient institutions.",,,
400,LOAN,Transfers in cash or in kind for which the recipient incurs legal debt.,,,
420,DEBT INSTRUMENTS,,,,
430,MEZZANINE FINANCE INSTRUMENTS,,,,
500,EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,,,,
600,DEBT RELIEF,"Debt cancellations, debt conversions, debt rescheduling within or outside the framework of the Paris Club.",,,
700,INVESTMENT,Investment made by a private entity resident in a reporting country to acquire or add to a lasting interest(1) in an enterprise in a country on the DAC List of ODA Recipients.,,,
800,BONDS,Acquisition of bonds issued by developing countries.,,,
900,OTHER SECURITIES/CLAIMS,,,,
