code,name,description,category,url,status
10,Government,,,,
11,Local Government,Any local (sub national) government organisation in either donor or recipient country.,,,
15,Other Public Sector,,,,
21,International NGO,,,,
22,National NGO,,,,
23,Regional NGO,,,,
24,Partner Country based NGO,Local and National NGO / CSO based in aid/assistance recipient country,,,
30,Public Private Partnership,,,,
40,Multilateral,,,,
60,Foundation,,,,
70,Private Sector,,,,
71,Private Sector in Provider Country,Is in provider / donor country.,,,
72,Private Sector in Aid Recipient Country,Is in aid recipient country.,,,
73,Private Sector in Third Country,Is not in either a donor or aid recipient country.,,,
80,"Academic, Training and Research",,,,
90,Other,,,,
