code,name,description,category,url,status
A01,Évaluation de l'incidence avant et après le projet,,A,,
A02,Objectifs/raison d'être de l'activité,,A,,
A03,Bénéficiaires finaux visés,,A,,
A04,Conditions,,A,,
A05,Budget,,A,,
A06,Renseignements sommaires sur le contrat,,A,,
A07,Examen du rendement du projet et évaluation,,A,,
A08,Résultats et extrants,,A,,
A09,Protocole d'entente (s'il y a entente entre toutes les parties),,A,,
A10,Appel d’offres,,A,,
A11,Contrat,,A,,
A12,Page Web sur l'activité,,A,,
B01,Rapport annuel,,B,,
B02,Stratégie organisationnelle,,B,,
B03,Stratégie-pays,,B,,
B04,Politique sur la répartition de l'aide,,B,,
B05,Politique et procédure d'approvisionnement,,B,,
B06,Rapport de vérification de l'organisation,,B,,
B07,Rapport de vérification du pays,,B,,
B08,Politique sur les exclusions,,B,,
B09,Rapport d'évaluation de l'organisation,,B,,
B10,Rapport d'évaluation nationale,,B,,
B11,Stratégie sectorielle,,B,,
B12,Stratégie thématique,,B,,
B13,Protocole d'entente national,,B,,
B14,Politique sur les évaluations,,B,,
B15,Modalités générales,,B,,
B16,Page Web sur l'organisation,,B,,
B17,Page Web sur le pays/la région,,B,,
B18,Page Web sur le secteur,,B,,
