href,dirname
mailto:support%40iatistandard.org,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/organisation-identifiers
http://iatistandard.org/203/codelists/BudgetStatus/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/overview/budgets
http://discuss.iatistandard.org/t/help-develop-iati-s-humanitarian-reporting-guidance/530,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/overview/humanitarian-reporting
http://validator.iatistandard.org/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/overview/activity-file
http://iatistandard.org/codelists/SectorVocabulary/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/overview/self-defined-vocabularies
http://iatistandard.org/201/codelists/Sector/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/overview/self-defined-vocabularies
http://iatistandard.org/activity-standard/iati-activities/iati-activity/sector/#sector,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/overview/self-defined-vocabularies
https://discuss.iatistandard.org/t/add-budget-exempt-attribute-and-codelist-included-2-03/845,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity
http://support.iatistandard.org/entries/106937796-Humanitarian-Flag,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#iati-activity-removed-attribute,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity
https://discuss.iatistandard.org/t/hierarchies-related-activity-definition-included-2-03/840,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/related-activity
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#freetext-amended-elements,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/related-activity
http://iatistandard.org/203/codelists/BudgetIdentifierVocabulary/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/country-budget-items/budget-item
http://iatistandard.org/203/activity-standard/iati-activities/iati-activity/country-budget-items/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/country-budget-items/budget-item
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#narrative-new-elements,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/description
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#description-removed-attributes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/description
https://discuss.iatistandard.org/t/results-improve-consistency-of-results-standard-included-2-03/874,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator
https://discuss.iatistandard.org/t/guidance-on-u-r-i-usage-for-publisher-s-own-vocabularies-included-2-03/850,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/reference
https://discuss.iatistandard.org/t/results-vocabulary-attribute-option-included-2-03/879,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/reference
http://support.iatistandard.org/entries/79784435-Results-Require-unambiguous-indicator-reference,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/reference
https://discuss.iatistandard.org/t/results-allow-disaggregations-of-results-data-included-2-03/871,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/period/actual
https://discuss.iatistandard.org/t/results-represent-more-than-quantitative-data-included-2-03/872,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/period/actual
http://support.iatistandard.org/entries/79499149-Support-disaggregation-of-performance-data,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/period/actual/location
https://discuss.iatistandard.org/t/add-document-link-to-results-indicator-included-2-03/895,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/result/indicator/period/actual/document-link
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#other-identifier-removed-new-attributes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/other-identifier
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/##other-identifier-new-child-elements,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/other-identifier
http://support.iatistandard.org/entries/83678719-DAC-Channel-of-Delivery,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/crs-add/channel-code
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#other-flags-renamed-element,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/crs-add/other-flags
https://discuss.iatistandard.org/t/boundary-values-for-percentages-included-2-03/843,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/recipient-country
https://discuss.iatistandard.org/t/migration-of-organisationregistrationagency-codelist-to-org-id-guide-included-2-03/851,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/receiver-org
http://support.iatistandard.org/entries/81683876-provider-receiver-og-adding-type,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/receiver-org
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#transaction-new-child-elements,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/recipient-country
http://support.iatistandard.org/entries/105713163-Add-URI-attribute-to-elements-where-Reporting-organisation-vocabularies-are-used,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/recipient-region
https://discuss.iatistandard.org/t/add-vocabularies-to-aid-type-included-2-03/847,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/aid-type
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#contact-info-department-new-element,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/contact-info
http://support.iatistandard.org/entries/105778163-Humanitarian-Emergencies-and-Appeals,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/humanitarian-scope
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#location-removed-elements,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#location-removed-attributes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#planned-disbursement-removed-renamed-attributes,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/planned-disbursement
http://support.iatistandard.org/entries/29665337-Add-provider-org-and-receiver-org-to-planned-disbursement-element,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/planned-disbursement/receiver-org
https://discuss.iatistandard.org/t/crs-channels-of-delivery-included-2-03/857,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/participating-org
http://support.iatistandard.org/entries/82377659-Add-activity-id-attribute-to-participating-org-element,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/participating-org
https://discuss.iatistandard.org/t/non-statistical-secondary-sectors-excluded-2-03/849,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/tag
https://discuss.iatistandard.org/t/bug-fix-implementing-checks-on-percentage-attributes/983,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/sector
https://discuss.iatistandard.org/t/migration-of-organisationregistrationagency-codelist-to-org-id-guide-included-2-03/851/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/reporting-org
https://discuss.iatistandard.org/t/modify-definition-of-secondary-publisher-included-2-03/846,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/reporting-org
https://discuss.iatistandard.org/t/proposal-update-of-budget-element-description-text-in-activity-standard/1216,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/budget
http://support.iatistandard.org/entries/21150501-Budgets-and-tentativeness,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/budget
https://discuss.iatistandard.org/t/document-link-description-included-2-03/841,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/document-link
http://support.iatistandard.org/entries/92707776-Document-Dates,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/document-link/document-date
http://iatistandard.org/202/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://iatistandard.org/201/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://iatistandard.org/105/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://iatistandard.org/104/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://iatistandard.org/103/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://iatistandard.org/102/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://iatistandard.org/101/schema/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/schema
http://reference.iatistandard.org/upgrades/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
https://discuss.iatistandard.org/c/standard-management/non-embedded-codelist-amendments,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://reference.iatistandard.org/codelists/AidTypeVocabulary/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://reference.iatistandard.org/codelists/AidType/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://reference.iatistandard.org/codelists/EarmarkingCategory/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
https://discuss.iatistandard.org/c/standard-management/third-party-codelists,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://reference.iatistandard.org/codelists/DescriptionType/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://codelists102.archive.iatistandard.org/data/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://codelists103.archive.iatistandard.org/data/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/codelists/downloads/clv1/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/codelists/downloads/clv2/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/104/codelists/downloads/clv1/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/105/codelists/downloads/clv1/,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/201/upgrades/integer-upgrade-to-2-01/migrating/#handling-translations,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/201/codelists/downloads/clv2/xml/ActivityDateType.xml,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/201/codelists/downloads/clv3/xml/ActivityDateType.xml,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/codelists/downloads/clv1/codelist.xml,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#iati-organisation-removed-attribute,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/organisation-standard/iati-organisations/iati-organisation
http://iatistandard.org/upgrades/integer-upgrade-to-2-01/2-01-changes/#budget-line-new-element,IATI-Standard-SSOT-version-2.03/docs/en/_build/dirhtml/organisation-standard/iati-organisations/iati-organisation/recipient-org-budget/budget-line
